Legacy record number,Input Date (yyyy/mm/dd),Organisation Code,Organization name,Organization type,Area of expertise,Assessment?,Emergency Response?,Recovery?,Sector,Region (if not a country) (free text),Country,Island Name,Location,Beneficiaries,Project description,Project Status,Start date (yyyy/mm/dd),End date (yyyy/mm/dd),Unique ID
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,Shelter/CCCM/Displacement Tracking,,Dominica,,,,"IOM joined an assessment mission together with PAHO/WHO on 25 September, using tools from its Displacement Tracking Matrix to begin to identify locations, caseload and priority needs of affected people in emergency/evacuation shelters",Ongoing,,,87
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter/CCCM/Displacement Tracking,,Dominica,,,,"Priority activities include: (i) assessments of emergency/evacuation shelters and damaged/destroyed houses; (ii) mapping of potential distribution locations in coordination with MapAction; (iii) development of shelter relief options and strategy; (iv) rapid procurement of CGI, toolkits and NFI; (v) emergency/evacuation shelter upgrade to improve conditions including support to shelter managers",,,,86
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter,,Dominica,,,,"Pending confirmation of funding, IOM's global procurement unit is preparing to start procurement of shelter material for shelter repair targeting 5,000 households including 100,000 CGI, 5,000 shelter toolkits and shelter grade plastic sheeting for 1,000 households. Coordination with CDEMA, Dominican authorities and shelter actors ongoing to ensure a harmonised approach",Ongoing,,,85
,2017/09/25,UNICEF,,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987","23 staff members deployed to Antigua and Barbuda, Anguilla, BVI, TCI and Dominica to undertake assessments particularly focussing on child protection and education sector management, water and sanitation, shelter management, communication for development needs and planning for psychosocial support of children start-up. Rapid Needs Assessment Tool has also been developed and shared with deployed colleagues to facilitate data gathering and sharing. 
Psychosocial support programme for children ""Return to Happiness"" has started. 
Relief and Recovery Supplies distributed to date:  

ANGUILLA - A request was made by the Return to Happiness (RTH) focal point to initiate the programme for children ages 4-14. The programme will start on 26 September with
UNICEF-trained national facilitators. This team will be amplified by a team of facilitators from St. Lucia, to be provided through an OECS/UNICEF partnership agreement.Local teams of pre-trained outreach personnel have been briefed and mobilized to provide psychosocial support in communities to both children and adults.
C4D Messaging to promote good hygiene practices, child safety and protection and the prevention of mosquito borne illnesses commenced on 14 September 2017 in partnership with FLOW Communications, reaching 10,237 subscribers.

BARBUDA - Return to Happiness commenced in Antigua on 14 September 2017.  Nineteen children (ages 5-17) and 4 parents are participating. UNICEF is coordinating with the Ministry of Education to ensure implementation of RTH psychosocial support programme in coordination with schools in order to guarantee adequate coverage and duration, capacity building and early referral
in case of protection needs.  The full roll out to benefit 220 children ages 5 – 12 will be completed on 6 October 2017.  Coordination meetings held with the Ministry of Social Transformation
and other partners to develop psychosocial and social services programmes for families.
UNICEF and UN Women held a consultation meeting with MoST on 18 September 2017 to build on social protection plans for evacuees.UNICEF and other partners (WFP, Red Cross, UNFPA and DFID) exploring plans to facilitate cash transfers for affected families.Coordination meeting for partners involved in Social Protection convened by MoST. Schemes discussed: food vouchers, utilities subsidies, school text book and uniform vouchers.UNICEF is providing support in identifying gaps in analyzing education needs and is working to integrate children evacuated from Barbuda
into Antigua’s education system.UNICEF delivered 6 school-in-a-box kits to the MoE for primary schools who are integrating Barbudan students.Barbudan children commenced school in Antigua on 21 September 2017. UNICEF visited a school where 31 children from Barbuda have been integrated. School-in-a-box and recreational kits were handed over to the school.UNICEF supported the development of draft Tips and Alters for Teachers: How to support integration of children and adolescents affected by hurricanes and other disasters.UNICEF is supporting the MoE in its efforts to guarantee inclusion of all Barbudan children in education. Strategy consists of: Strengthening of the capacity of education staff to receive and integrate the Barbudan and other children coming to Antigua because of the disaster in the Eastern Caribbean Completion of distribution of educational materials to ensure essential school supplies both to individual children and to schools. 

BRITISH VIRGIN ISLANDS - Visits have been made to the temporary shelters to assess the conditions and needs of the evacuees. In collaboration with Red Cross, data for all the shelters has been sourced and updated in a common repository for utilizing consistent evidence among partners including on children, women and other vulnerable groups.
Discussions held with the Department of Mental Health of the Ministry of Health (MoH) and Social Development for planning the RTH psychosocial support programme to children as soon as feasible and in close coordination with MoE In partnership with MoE, the education facilities assessments and data from several sources will be consolidated and triangulated to prove a holistic
perspective of the extent of damage to schools including mapping of those which are usable or non-usable. . Based on the assessments a plan is being developed by MoE, UNICEF and partners for the gradual resumption of school starting 05 October 2017
C4D Messaging to promote good hygiene practices, child safety and protection and the prevention of mosquito borne illnesses commenced on 14 September 2017 in partnership with FLOW Communications. To date, 17,516 customers have been reached with the messaging. 
Increasing staff capacity on child protection/education ensure full capacity to facilitate recovery efforts. Planning long-term deployment after Maria passes to address education issues.UNICEF has translated C4D messages on child protection and on handwashing for the Spanish-speaking population residing in BVI. 500 Spanish and English posters will be produced for shelters and schools.

DOMINICA - In coordination with the Barbados Defense Force, UNICEF provided tents and other emergency relief supplies for delivery to Dominica including: 
392 Hygiene kits;                                                                                                 
ORS – 191;                                                                                                              
Water purification Tablets – 640                                                                               
Tents 42 m2 – 2                                                                                                               
Tents 72 m2 – 3
A UNICEF WASH Expert joined the rapid assessment team in Dominica 
UNICEF partnered with Flow Telecommunications to disseminate C4D messages on health, WASH and child protection to Dominicans affected by Hurricane Maria. Messages will commence on
23 September twice per day.UNICEF discussed with Digicel disseminating C4D messages on health, WASH and child protection to Dominicans. 

TURKS & CAICOS ISLANDS - UNICEF team undertook the distribution of supplies to 300 families in Providenciales, with the help of volunteers and TCI social services. Distribution continued in North and Middle Caicos. In coordination with the WFP, supplies were sent to 250 families in North Caicos and middle Cacos. Jerry cans, blankets and water
purification tablets also distributed to 900 persons in 4 shelters in Providenciales. It was distributed in a joint effort with main international partners in the country, including DFID, WFP and the British  Army. C4D Messaging to promote good hygiene practices, child safety and protection and the prevention of mosquito borne illnesses commenced on 14 September 2017 in partnership with FLOW Communications. To date, 19,620 customers have been reached with the messaging.
Coordination meetings were held with DFID to discuss undertaking joint assessments once the all clear is given in TCI.
UNICEF continues to work closely with DFID, the British Army, WFP and other National authorities in response to the devastation caused by Hurricane Irma and pending threat of Hurricane Maria.Discussions were also held with shelter managers, in collaboration with WFP, to provide a brief on Heb rations, aquatab usage, and shelter protection issues.UNICEF has translated C4D messages on child protection and on handwashing for the Haitian population in TCI affected by the Hurricane. 1000 print messages will be produced in French; 500 will be produced to reach the Spanish populations residing in TCI.  

",,,,84
,2017/09/26,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter,,Dominica,Dominica,,,A proposal will be developed to covers roofing as well as training about installation and the type of material to be used combined with a large communication and outreach strategy.,Planned,,,83
,2017/09/26,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter,,Dominica,Dominica,,,"A market assessment is ongoing.  There are five large construction importation companies on the island (Nassif, EH Charles, Astaphans, M&R, and Rudolph Thomas and Sons) ",Ongoing,,,82
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Food Security,,Dominica,Dominica,"Anse de Mai, Coulihaut, Belles, Dos Dane, Thiabaud, Cottage, Clifton, Capuchin","3,700","A total of 340 boxes of High Energy Biscuits (HEBs) were distributed at prioritised locations, identified in coordination with Government focal points, reaching some 3,700 people. An additional 700kg of HEBs were distributed near the Melville Hall area (north-east). ",Completed,,,81
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Food Security,,Dominica,Dominica,Roseau,,"WFP is collaborating with local authorities, and national and international responders to establish a food security working group in Roseau to coordinate assessments, distributions and other food security-related activities.",Ongoing,,,80
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Food Security,,Dominica,Dominica,Various,,7mt of HEBs are en route from Antigua to Dominica to provide further emergency food assistance to Hurricane Maria-affected people. ,Planned,,,79
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Logistics,,Dominica,Dominica,Roseau,,2 Mobile Storage Units (MSUs) - size 10x24mt - are being erected in Roseau to augment storage capacity at the port and airport. ,Ongoing,,,78
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Logistics,,Dominica,Dominica,TBC,,A 3rd MSU is expected to be erected near Melville Hall to service the North and East coast of Dominica,Ongoing,,,77
,2017/09/26,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Logistics,,Dominica,Dominica,Roseau,,"A Logistics Coordinator and Civ-Mil Officer are establishing a coordination cell to support national authorities and humanitarian responders with logistics coordiation, cargo consolidation, information sharing and the use of available military assets. ",Ongoing,,,76
,2017/09/26,UNICEF,United Nations Children's Fund,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987","23 staff members deployed to Antigua and Barbuda, Anguilla, BVI, TCI and Dominica to undertake assessments particularly focussing on child protection and education sector management, water and sanitation, shelter management, communication for development needs and planning for psychosocial support of children start-up. Rapid Needs Assessment Tool has also been developed and shared with deployed colleagues to facilitate data gathering and sharing. 
Psychosocial support programme for children ""Return to Happiness"" has started. 
Relief and Recovery Supplies distributed to date:  

ANGUILLAA roll out plan for UNICEF supported Return to Happiness has been developed in consultation with partners.  Training of trainers session commenced on 25 September. 
This will be followed by RTH sessions with children.  Two (2) centres have identified for the roll out of the RTH programme in Anguilla.
In addition to Return to Happiness sessions with children, during the Week of 25-29 September 2017 a Sports Programme will be implemented
with children in the 11-15 age group. 
All Primary and Secondary schools in Anguilla will commence on Monday 2nd October 2017.  Due to recent hurricane damage to secondary schools, a shift system will be implemented to maximise available learning spaces.  UNICEF is working with Ministry of Education to support resumption of school and ensure quality education through provision of essential teaching and learning material
ANTIGUA AND BARBUDA
Full roll out for the UNICEF-supported Return to Happiness will start on 3 October, through the Ministry of Education and facilitated under a PCA agreement between the UNICEF and the OECS Commission. All Barbudan children attending both public and private primary schools, including children with special needs, will be reached with psychosocial support through the schools they attend.  These sessions will be facilitated by 10 external facilitators from St. Lucia.  In addition to Return to Happiness sessions with children, on 4-5 October, all school counsellors from Antigua and from Barbuda will be participants in a RTH training of trainers workshop. Under the PCA agreement, planning is ongoing for capacity development of social workers and other frontline workers with children and their families, to ensure the integration of PSS in all areas.
BRITISH VIRGIN ISLANDS
An 11 member national RTH facilitation team was activated on 25 September to facilitate the multi-island roll-out across the BVITechnical assistance was provided to Ministry of Health for design of Return to Happiness roll our plan and the first programme commenced in Tortola on 25 September for 19 children from 5 to 11 years of age. The Ministry of Education initiated the process of setting up 10 temporary learning and protection spaces with the support of UNICEF to start psychosocial, educational and WASH activities with the age group 3-8 years on 5 October.Technical assistance was provided to Ministry of Education’s emergency response operational plan.
DOMINICA
Two staff members deployed to Antigua are enroute to Dominica on 26 September. They will focus on WASH issues and supply and logistical arrangements to facilitate delivery of urgent support to hurricane affected children and families.An additional team of UNICEF staff from Regional Office and Haiti is expected to go to Dominica to boost UNICEF preparations for emergency response.
TURKS AND CAICOS
In coordination with WFP, Mission of Hope and the British Army, water supplies (Jerry cans and water purification tablets) were distributed to for 230 families in Grand Turk.Planned start-up of Return to Happiness in the Grand Turk was delayed due to the passage of Hurricane Maria.  Planning is ongoing for an external team to be ground by 16 October. ",,,,75
,2017/09/26,USAID/OFDA,USAID's Office Of U.S. Foreign Disaster Assistance,USAID/USG,Multi-sectoral,,yes,,NFIs,Eastern Caribbean,Dominica,,St. George and St. Paul parishes,,"The relief flight carrying USAID/OFDA emergency relief items, including 1,000 hygiene kits and 361 rolls of plastic sheeting, landed in Dominica at 10:30 a.m. on September 26. USAID/OFDA emergency relief commodities were distributed to thirteen shelters in the hard-hit urban areas of Roseau on September 26.  The shelters included five schools, four churches, three community centers, and one parish hall in St. George and St. Paul parishes.  In total, USAID/OFDA relief commodities delivered on September 26 included 400 hygiene kits for 2,000 people, 900 water containers for 2,250 people, and 105 kitchen sets that reached 525 people.  
",Ongoing,,,74
,2017/09/27,GAC,Global Affairs Canada,Government,Humanitarian Assistance,,yes,,,,Dominica,,,,"Canada is supporting the IFRC emergency relief operation to support the Dominica Red Cross Society through CAD$55,000 to teh Canadian Red Cross. The operation will focus on the provision of health services, shelter and relief items, water, sanitation and hygiene services, as well as helping to reunite families with separated relatives.",Ongoing,,,73
,2017/09/27,GAC,Global Affairs Canada,Government,Humanitarian Assistance,,yes,,,,Dominica,,NE,,Humanitarian Adviser is with HMCS ST. JOHN’S to liaise with humanitarian partners and coordinate delivery of assistance.,Ongoing,2017/09/25,2017/09/29,72
,2017/09/27,CARPHA,Caribbean Public Health Agency,CARICOM/Public Health,Public Health,,yes,,,,Dominica,,,,"2 staff members from the Environmental Health laboratory in St. Lucia have been deployed to Dominica to assist in water quality testing. CARPHA has participated in RNA in both the BVI and Dominica under the CDEMA mechanism. The agency is working to support Dominica with procuring some essential medical supplies. Will work with the Ministry of Health, Dominica in issuing public health messages for use in shelters and the general public related to hygiene, sanitation and general health.",,,,71
,2017/09/27,GAC,Global Affairs Canada,Government,Humanitarian Assistance,,yes,,,,Dominica,,NE,,"HMCS St Johns will be assisting in relief operations in the NE quadrant of Dominica, including production and delivery of potable water, communications, logistics and light engineering. The helicopter will also assist in evacuation of medical emergencies, as required.",Ongoing,2017/09/24,,70
,2017/09/27,WFP,European Civil Protection and Humanitarian Aid Operations,UE,Humanitarian Assistance,,yes,,,,multi country,,,,"2 M Euros first assigned to support response efforts in the region (possible distribution tbc - 1.6 M EUR for Cuba, 210 000 for Antigua and Barbuda, 80 000 St. Maarten, 60 000 TCI, 50 000 SKN);

Dominica: 250 000 humanitarian assistance (for logistic support and food assistance) DG ECHO Office: 1 Humanitarian expert deployed. EUCP
Team (26/09 - 15/10): Team Leader (NO), 

1 Coordination/operation expert (FR), 1 WASH
expert (DE), 1 Logistics Expert (SE), 1 ERCC Liaison Officer.  1 EU CP expert on disaster waste management
(RO) seconded to UNDAC . Copernicus EMS activated and 8 maps produced. Relief
assistance EUCPM: 1 Water purification module, water purification cubes,
aquatabs, buckets, Silverline water filtration system, UNICEF water bladders,
medical supplies kits, hygiene kits, blankets, tents, kitchen sets, boxes of
rations, ropes rolls, tarpaulins, gloves, chain saws, picks, shelter kits,
lumber, solar lights and 2 vessels for strategic sea transportation.

 

",Ongoing,,,69
,2017/09/27,GAC,Global Affairs Canada,Government,Humanitarian Assistance,,yes,,,,Dominica,,,,Canadian Air Force are assisting with airlift of 120 JDF personnel into Melville Hall airport.,Ongoing,2017/09/26,,68
,2017/09/28,FAO,Food and Agriculture Organization of the United Nations,UN,"Agriculture, Food Security, Fishery, Forestry  ",Yes,Yes,Yes,"Agriculture, Food Security, Fishery, Forestry  ",Region,Caribbean,"Domininca, Antigua and Barbuda, ST Kitts and Nevis, St. Lucia, Haiti",Various,,"In response to the hurricanes IRMA and MARIA, FAO have been supporting CDEMA in conducting a rapid and damage needs assessment in Dominica with special focus on the agricultural and fishery sector. Additionally, FAO is currently providing support to the Ministry of Agriculture in Antigua and Barbuda as well as ST. Kitts and Nevis in conducting post-disaster needs assesments in order to quantify the level of damage and loss experienced by these countries thus prioritize needs and interventions to restore the agriculture sector and sub-sectors including crop and livestock production as well as fishery and forestry. FAO is mobilizing internal funds (USD 100K) to assist the recovery of the agriculture sector in Dominica.",Ongoing,,,67
,57126/02/14,CDB,Caribbean Development Bank,Government,Development Banking,Yes,Yes,Yes,,Impacted states,,"Anguilla, Barbuda; BVI, TCI, Dominica",Various,,"The Government of the United Kingdom has pledged around £60 million to cover the immediate emergency response needs following passage of Hurricane Irma. On 23/09 it announced a further £5m for the Dominica Hurricane Maria response.  A hotline for calls has been established (+44 (0)207 008 0000) The Senior Civilian Representative for Relief and Reconstruction, arrived 15/09 in the region to coordinate the entire UK Task Force and oversee civilian and military operations as part of the UK Overseas Territories response. Personnel/Expertise:Approximately 2000 troops now deployed to the regionHMS Ocean landed in region on Friday (22/09) and continues to unload and distribute 60 tonnes relief items including WASH and shelter kits.  HMS Ocean arrived in Dominica (26/09) and will be located there for 48 hours.  This responds to a request from the Dominican Government/Caribbean
Emergency Disaster Management Agency (CDEMA) to provide airlift to distribute aid and deliver relief work to support isolated communities across the island.RFA Mounts Bay continues to deliver supplies including generators, building materials etc to impacted UK overseas territories. The desalination plant on board supplying clean waterHave three aircraft (C17, 2x CH47) and three Puma helicopters as well as a charter (7 seater) to move personnel and supplies between affected states; HMS ocean has 9 helicopters including 2 chinooks. The UK has provided further 59 police officers to assist with public order (40 Commando assisted Cayman Island Police and Civilian Police to round up prisoners and secure the prison on BVI)A 23 person Rapid Deployment Team (RDT) is in the region to provide consular support services (BVI, TCI, Anguilla, St Maarten, Puerto Rico, Dominica and Bridgetown)3 UK Med Health experts assisting PAHO and CARPHA on assessing health facilities risks as well as health and social needs 39 humanitarian field staff in the region supporting CDEMA RRM and NDMOs and UK relief efforts:  (3 Dominica; 8 Barbados; 6 in TCI, 12 in Antigua and Barbuda; 4 BVI; 4 Anguilla; 8 Barbados includes OT task force; 2 Miami) as well as 4 DFID funded map action experts part of UNDAC team deployments to region. Relief items: 175.8 tonnes of DFID relief items have arrived or been procured in the region including 2896 shelter kits, 4990 solar lanterns, 5,000 hygiene kits, 20,000 buckets and 500,000 aqua tabs. Food and water, satellite communications equipment, building materials and tools, school, small generators, petrol pumps, fire engines,lighting towers etc have also been delivered or are en-route. Delivery and distribution of supplies to impacted states: Dominica: HMS Ocean is providing helicopter
assets to deliver supplies to the worst hit areas in south and east of Dominica while engineers help clear roads and carry out urgent repairs. 7 MT food, 1,000 tarps and 2x vehicles were delivered on 26/09. HMS Ocean will remain in Dominica until the 28/09. Previously, emergency medical supplies, food and water and 3800 6x4 tarpaulins delivered using helicopters from Paragon base in Barbados. To Arrive: 43.5T of NFI including 1280 Shelter Kits, Tents; Water, Hygiene Kits, Solar Lights, water purification, jerry cans, timber etc.  Anguilla:  Delivered 6.8 tonnes food and water (+ 5 tons from CDEMA) plus 18 tonnes of building tools and materials (10 tonnes CGI with 2 tonnes to the hospital), and shelter kits (from Mounts Bay and by aircraft). Transported generator for the desalination plant and assisting to restore power. To arrive - debris clearing materials, generators, communications, equipment, solar, lanterns and water (subject to change depending on field needs). The British Red Cross, with DFID support, is designing a cash programme targeting 300-500 households.BVI:      516+ shelter kits Distributed to Jost van Dyke; Anegade; Sea Cow’s; Huntum’s Ghut (Road Town); West End; 4th; 5th; 6th Districts  of Tortola - by UK military,DDM and district reps.4.2 tonnes food and water (plus 5 tons from CDEMA and IT supplies) as well as 48 tarpaulinsfor critical equipment at the power station; 3 vehicles, 2200 buckets, 900 hygiene kits and 130,000 aquatabs delivered. To arrive - debris clearing equipment, building materials, generators, communications, equipment, solar lanterns and water (subject to change depending on field needs).  TCI: 762
shelter kits- distributed in South Caicos by Royal Marines and District Commissioner’s   office; 0.8 tonnes water, 170 tarpaulins, 4x Flat pack schools delivered. Arrived 26/09- food rations; water, fuel,generators and building materials (55t lumbar; 10t CGI); solar lanterns. Antigua and Barbuda: support through Red Cross (including cash transfer programme) and PAHO 
DFID Funding breakdown: Irma Emergency relief supplies and air services - committed £5.4m£2.7m committed for non-food relief items for Dominica £0.5m to World Food programme (WFP)UNHAS for essential air operations in Dominica HMS Ocean tasking for Dominica   Staffing includesHumanitarian Services £350,000 to improve response effectiveness - includes mapping through Map-action and communication with affected populationsSecondment into UN-OCHO (information officer)Red Cross £ 3.5m approved so far for BVI, TCI and Anguilla (shelter, WASH, relief supplies, cash)£1.2m for Cuba; £300k SKN, Antigua and BarbudaAid match up to £3m (£1.2m raised to date, doubled to £2.4m)  £0.5m for Dominica appealPAHO £2.5m for emergency healthcare delivery and access; public health and disease outbreak management for Anguilla, Antigua and Barbuda; BVI; Cuba; DR, Haiti, St Maarten, TCI)CDEMA £440 (NDMO support and regional coordination: staff, transport and equipment) 

",,,,66
,2017/09/27,UN Women,UN Women ,UN,Gender Based Violence Prevention and Reduction in shelter settings and other temporary housing; gender rapid needs assessment and PDNA; Psycho-social support; provision of relief of dignity and hygiene relief supplies,,Yes,,Social sector,,Dominica,Dominica,Various,Women and their families ,Relay of a first shipment of 250 dignity kits to the affected families. The Bureau of Gender Affairs in Dominica has confirmed receipt. The kits are a collaborative effort of UN Women and UNFPA Caribbean offices. ,Ongoing,,,65
,2017/09/27,UNDP,United Nations Development Programme,UN,Recovery,,,Y,Multi sector,Region,Dominica,Dominica,Various,"Impacted, displaced and most vulnerable population",Early Recovery Advisor deployed to provide technical assistance to the Government on the recovery process,Ongoing,2017/09/27,,64
,2017/09/27,UNDP,United Nations Development Programme,UN,Debris Management,,,Y,Multi sector,Region,Dominica,Dominica,Various,"Impacted, displaced and most vulnerable population",Based on a direct request from the Government two debris and waste management specialist has been deployed and will provide direct technical support to the Government,Ongoing,2017/10/01,,63
,2017/09/28,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,,,Shelter,,Antigua and Barbuda,Antigua,,,"DTM site assessments have been completed in six displacement sites hosting around 300 people. Information on numbers and locations of displacement populations for Antigua and Barbuda (available on DTM Portal). Majority of needs are being met, however the displaced Barbadians are in need of information regarding returns.",Completed,,,62
,2017/09/27,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,YES,YES,,Cross-cutting,,Dominica,Dominica,Various,,"With additional IFRC deployment, surge staff supporting the Dominica Red Cross in county reaches 21: Basecamp, Comms, Comms A/V, Shelter, Finance, Field leadership (x2), Health, IM, IT/T (x2), Logistics (x5), CDEMA/partners liaison, Relief, Cash Transfer Programming, Restoring Family Links, WASH",Ongoing,2017/09/23,,61
,2017/09/27,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,,YES,,WASH,,Dominica,Dominica,"Check Hall, St. Paul Parish",,"Water treament system and distribution point with 5,000 liters/day capacity setup.",Ongoing,2017/09/27,,60
,2017/09/28,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,YES,,,Health,,Dominica,Dominica,Various,,"Assessment of health facilities in St. Joseph Health District, the RFA Hospital + Primary Health Center in Portsmouth, Belles, and La Plaine in coordination with Ministry of Health.",Completed,2017/09/25,2017/09/27,59
,2017/09/28,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,YES,,,Logistics,,Dominica,Dominica,Various,,Street-level imagery assessments of roads published to mapillary,Ongoing,2017/09/25,,58
,2017/09/28,IFRC,International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement,Response,,YES,,RFL,,Dominica,Dominica,Various,,Restoring Family Links (RFL) delegate in country beginning to help address casework related to Hurricane Maria.,Ongoing,2017/09/26,,57
,2017/09/27,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",,YES,,Logistics,,Dominica,Dominica,,,"1 Mobile Storage Unit (32x10), 22 tarp roll, and 3 plastic tanks for fuel arrived in Dominica. Technical specialists have also arrived for the erection of the MSUs. One warehouse at the port has been cleared and its currently stioring relief supplies from multiple stakeholders.",Ongoing,,,56
,2017/09/28,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",,YES,,Logistics,,Antigua and Barbuda,Antigua and Barbuda,,,Ongoing consolidation of cargo on behalf of the humanitarian community on board the Dutch Navy vessel Pelikan for sea transport from Antigua to Dominica,Ongoing,,,55
,2017/09/27,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",,YES,,Logistics,,Dominica,Dominica,,,"As of 27 September, WFP has also mobilised and made available free-to-user a helicopter lift capacity of 1.5 mt that will be used to support assessments and distribution activities to hard to reach locations",Ongoing,,,54
,2017/09/27,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",,YES,,Food,,Dominica,Dominica,,,7mt of HIgh Energy Biscuits have arrived in Dominica for onward distribution. ,Ongoing,,,53
,2017/09/27,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Emergency Telecoms,,Dominica,Dominica,Marigot,,"Upon request of CDEMA, connectivity is being established at Douglas-Charles Airport (DOM).A team of Emergency Telecoms experts flew in today to DOM to work on establishing these services.",Ongoing,,,52
,2017/09/27,WFP,World Food Programme,UN,"Food Security, Logistics, Emergency Telecoms",YES,YES,,Emergency Telecoms,,Dominica,Dominica,Roseau,,"Connectivity has been established at the Government Emergency Centre, Canefield Airport, Dominica Hospital, Dominican, Venezuelan and French Fire Brigade. To-date more than 600 registered users are on the system established by WFP– including government entities, humanitarian response actors and private sector telecommunication providers.",Ongoing,,,51
,2017/09/28,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Antigua and Barbuda,Antigua and Barbuda,,,"250 Shelterbox tents and toolboxes have arrived from Haiti to Antigua. They will be used to as shelter for clean up teams in Barbuda, assisting the return and rebuilding process. Emergency focal point for LAC region has deployed to Antigua to provide technical support on these activities.",Completed,,,50
,2017/09/28,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Sint Maarten (Dutch part),Sint Maarten,,,"IOM contingency stock pre-positioned in Panama arrived in Sint Maarten on 27 September. 995 shelter grade tarps and 1000 30mt long ropes were delivered through UNHAS chartered flight. Half of the cargo is planned to assist health facilities with temporary roofing and half to assist persons identified through community councils residing with relatives and friends that can return home with this kind assistance, as well as some of those sheltered at NIPA in the same category.",Ongoing,,,49
,2017/09/17,,Cordaid,NGO,Relief,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,relief & communications,,,,48
,2017/09/17,,Samaritan's Purse,NGO,NFI,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,"hygiene kits, plastic, and blankets.",,,,47
,2017/09/17,,UNICEF,UN,Assessment/Child Protection,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Need Assessment,,,,46
,2017/09/17,,Nethope,NGO,Emergency Telecoms,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Connectivity Internet,,,,45
,2017/09/17,,Telecoms Sans Frontiere,NGO,Emergency Telecoms,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,internet connectivity and sat phones,,,,44
,2017/09/17,,Dutch Deloitte,,Legal Support,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,,,,,43
,2017/09/17,,USAID,Government,Security/Water Desalination ,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,"Water, desalination units in Sandy Ground
Security (100 man from US DoD deployed)",,,,42
,2017/09/17,,UNDAC Netherlands,UN,Coordination,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,,,,,41
,2017/09/17,,UNDAC Belgium,UN,Coordination,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,,,,,40
,2017/09/17,,USAR ,,Waste management/Operational Support,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,,,,,39
,2017/09/17,,Caritas Antillen,NGO,Relief,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,,Completed,,2017-09-29,38
